  slev   sx    sy dlev   dx    dy  count       per       cum
b   14 4824 10224   14 4824 10222  27961 9.994695e-02  82.569610
b   14 4823 10226   14 4824 10226  27622 9.873519e-02  82.668345
b   14 4825 10226   14 4829 10227  27359 9.779510e-02  82.766140
b   14 4825 10229   14 4825 10227  27353 9.777365e-02  82.863914
b   14 4823 10225   14 4824 10227  26459 9.457804e-02  82.958492
b   14 4825 10226   14 4826 10229  26051 9.311963e-02  83.051612
b   14 4823 10223   14 4823 10225  25920 9.265137e-02  83.144263
b   14 4824 10224   14 4825 10228  25763 9.209017e-02  83.236353
b   14 4824 10225   14 4824 10222  25351 9.061748e-02  83.326971
b   14 4823 10225   14 4825 10227  25168 8.996334e-02  83.416934
b   14 4826 10227   14 4823 10223  25017 8.942359e-02  83.506358
b   14 4825 10228   14 4826 10230  24132 8.626014e-02  83.592618
b   14 4826 10228   14 4824 10225  23881 8.536294e-02  83.677981
b   14 4825 10225   14 4823 10223  23462 8.386522e-02  83.761846
b   14 4824 10224   14 4826 10228  23279 8.321108e-02  83.845057
b   14 4825 10227   14 4823 10225  23157 8.277499e-02  83.927832
b   14 4826 10228   14 4824 10227  23128 8.267133e-02  84.010503
b   14 4825 10226   14 4825 10229  22839 8.163830e-02  84.092142
b   14 4824 10224   14 4825 10222  22762 8.136306e-02  84.173505
b   14 4825 10227   14 4823 10224  22589 8.074467e-02  84.254249
b   14 4824 10225   14 4824 10223  22555 8.062314e-02  84.334873
b   14 4824 10226   14 4826 10230  22111 7.903605e-02  84.413909
b   14 4830 10227   14 4825 10227  21521 7.692709e-02  84.490836
b   14 4826 10229   14 4826 10228  21492 7.682343e-02  84.567659
b   14 4824 10226   14 4826 10226  20978 7.498613e-02  84.642645
b   14 4823 10223   14 4825 10225  20944 7.486460e-02  84.717510
b   14 4825 10227   14 4823 10223  20769 7.423906e-02  84.791749
b   14 4824 10227   14 4823 10225  20745 7.415327e-02  84.865902
b   14 4825 10229   14 4824 10227  20713 7.403888e-02  84.939941
b   14 4825 10229   14 4826 10228  20253 7.239461e-02  85.012336
b   14 4824 10226   14 4829 10227  20250 7.238389e-02  85.084720
b   14 4826 10227   14 4825 10229  20153 7.203716e-02  85.156757
b   14 4829 10227   14 4824 10225  20039 7.162966e-02  85.228386
b   14 4825 10227   14 4826 10226  19975 7.140089e-02  85.299787
b   14 4830 10227   14 4826 10227  19975 7.140089e-02  85.371188
b   14 4823 10224   14 4825 10227  19943 7.128651e-02  85.442475
b   14 4824 10225   14 4830 10227  19741 7.056446e-02  85.513039
b   14 4824 10224   14 4825 10223  19740 7.056088e-02  85.583600
b   14 4826 10229   14 4825 10228  19355 6.918470e-02  85.652785
b   14 4823 10223   14 4826 10227  19310 6.902384e-02  85.721809
b   14 4823 10223   14 4824 10223  18815 6.725446e-02  85.789063
b   14 4824 10225   14 4826 10229  18689 6.680407e-02  85.855867
b   14 4826 10228   14 4825 10229  18397 6.576031e-02  85.921627
b   14 4826 10230   14 4826 10229  18359 6.562448e-02  85.987252
b   14 4824 10227   14 4826 10229  18113 6.474515e-02  86.051997
b   14 4824 10227   14 4823 10224  18033 6.445919e-02  86.116456
b   14 4825 10226   14 4824 10222  17938 6.411961e-02  86.180576
b   14 4825 10229   14 4824 10226  17858 6.383365e-02  86.244409
b   14 4823 10224   14 4824 10227  17623 6.299364e-02  86.307403
b   14 4826 10229   14 4825 10229  17543 6.270768e-02  86.370111
b   14 4824 10222   14 4824 10222  17231 6.159243e-02  86.431703
b   14 4823 10223   14 4825 10227  17101 6.112774e-02  86.492831
b   14 4823 10225   14 4825 10225  16803 6.006254e-02  86.552893
b   14 4824 10225   14 4826 10224  16699 5.969079e-02  86.612584
b   14 4826 10230   14 4826 10230  16321 5.833962e-02  86.670924
b   14 4824 10224   14 4826 10222  16301 5.826813e-02  86.729192
b   14 4825 10225   14 4825 10224  16299 5.826099e-02  86.787453
b   14 4825 10224   14 4825 10226  15858 5.668463e-02  86.844138
b   14 4825 10226   14 4824 10223  15772 5.637722e-02  86.900515
b   14 4830 10227   14 4823 10223  15754 5.631288e-02  86.956828
b   14 4824 10227   14 4825 10225  15578 5.568376e-02  87.012512
b   14 4826 10229   14 4826 10230  15549 5.558010e-02  87.068092
b   14 4824 10225   14 4825 10222  15536 5.553363e-02  87.123625
b   14 4823 10224   14 4825 10225  15528 5.550504e-02  87.179130
b   14 4824 10224   14 4825 10221  15413 5.509397e-02  87.234224
b   14 4825 10227   14 4830 10227  15291 5.465788e-02  87.288882
b   14 4830 10227   14 4824 10224  15138 5.411098e-02  87.342993
b   14 4824 10225   14 4825 10229  15135 5.410025e-02  87.397093
b   14 4824 10226   14 4824 10222  15096 5.396085e-02  87.451054
b   14 4825 10224   14 4824 10226  15024 5.370348e-02  87.504758
b   14 4826 10226   14 4826 10226  15009 5.364986e-02  87.558408
b   14 4826 10226   14 4825 10227  14933 5.337820e-02  87.611786
b   14 4825 10226   14 4823 10226  14882 5.319590e-02  87.664982
b   14 4825 10229   14 4826 10227  14839 5.304220e-02  87.718024
b   14 4825 10229   14 4825 10226  14813 5.294926e-02  87.770973
b   14 4825 10226   14 4827 10227  14771 5.279913e-02  87.823772
b   14 4825 10225   14 4823 10224  14699 5.254176e-02  87.876314
b   14 4825 10226   14 4827 10226  14677 5.246313e-02  87.928777
b   14 4824 10227   14 4823 10223  14473 5.173392e-02  87.980511
b   14 4824 10225   14 4826 10226  14170 5.065085e-02  88.031162
b   14 4825 10228   14 4824 10224  14061 5.026123e-02  88.081423
b   14 4825 10225   14 4826 10228  14035 5.016829e-02  88.131591
b   14 4823 10225   14 4826 10227  14011 5.008250e-02  88.181674
b   14 4823 10224   14 4826 10227  13980 4.997169e-02  88.231646
b   14 4826 10227   14 4823 10224  13979 4.996812e-02  88.281614
b   14 4824 10223   14 4824 10224  13899 4.968215e-02  88.331296
b   14 4825 10229   14 4826 10230  13847 4.949628e-02  88.380792
b   14 4826 10227   14 4830 10227  13569 4.850257e-02  88.429295
b   14 4823 10223   14 4824 10227  13488 4.821303e-02  88.477508
b   14 4823 10225   14 4825 10228  13476 4.817014e-02  88.525678
b   14 4825 10225   14 4824 10227  13472 4.815584e-02  88.573834
b   14 4829 10227   14 4825 10227  13433 4.801643e-02  88.621850
b   14 4824 10225   14 4826 10223  13411 4.793779e-02  88.669788
b   14 4824 10224   14 4827 10223  13336 4.766970e-02  88.717458
b   14 4824 10225   14 4825 10221  13094 4.680467e-02  88.764262
b   14 4824 10226   14 4824 10223  13038 4.660450e-02  88.810867
b   14 4830 10227   14 4825 10228  12896 4.609692e-02  88.856964
b   14 4825 10226   14 4826 10225  12844 4.591104e-02  88.902875
b   14 4824 10225   14 4826 10230  12765 4.562866e-02  88.948503
b   14 4826 10224   14 4826 10224  12583 4.497810e-02  88.993482
b   14 4823 10223   14 4824 10222  12481 4.461350e-02  89.038095
b   14 4824 10224   14 4823 10226  12324 4.405230e-02  89.082147
b   14 4824 10224   14 4827 10222  12127 4.334812e-02  89.125495
b   14 4825 10225   14 4823 10225  12084 4.319441e-02  89.168690
b   14 4826 10227   14 4827 10229  11800 4.217925e-02  89.210869
b   14 4824 10227   14 4826 10230  11585 4.141073e-02  89.252280
