ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5680290,HN488491,07/25/2007 02:00:00 AM,043XX N KOSTNER AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,false,false,1722,017,38,16,06,1146063,1928512,2007,04/15/2016 08:55:02 AM,41.959825511,-87.738397987,"(41.959825511, -87.738397987)"
6971991,HR322741,05/15/2009 02:00:00 PM,023XX W 111TH ST,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,false,false,2212,022,19,75,08B,1162766,1830957,2009,02/04/2016 06:33:39 AM,41.691788999,-87.67971859,"(41.691788999, -87.67971859)"
8011851,HT243729,04/10/2011 07:05:00 PM,002XX E 115TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,0532,005,9,53,04A,1180101,1828763,2011,02/04/2016 06:33:39 AM,41.685389871,-87.616320016,"(41.685389871, -87.616320016)"
5421159,HN258179,03/30/2007 10:00:00 PM,036XX W 69TH PL,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,false,true,0833,008,13,65,04B,1153220,1858276,2007,04/15/2016 08:55:02 AM,41.766950643,-87.713948376,"(41.766950643, -87.713948376)"
10792534,HZ562550,12/23/2016 12:30:00 PM,0000X S CLARK ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0112,001,42,32,06,1175543,1900196,2016,12/30/2016 03:57:27 PM,41.881512491,-87.630869346,"(41.881512491, -87.630869346)"
4499330,HL799166,12/20/2005 06:30:41 AM,001XX E SOUTH WATER ST,1570,SEX OFFENSE,PUBLIC INDECENCY,OTHER,true,false,0124,001,42,32,17,1177510,1902146,2005,04/15/2016 08:55:02 AM,41.886818987,-87.623587464,"(41.886818987, -87.623587464)"
7351510,HS152375,02/05/2010 12:30:00 PM,0000X E 119TH ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,false,false,0532,005,9,53,03,1178706,1826074,2010,02/04/2016 06:33:39 AM,41.678042602,-87.62150808,"(41.678042602, -87.62150808)"
6991686,HR396951,06/26/2009 03:45:00 PM,044XX S PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0815,008,14,57,14,1150425,1874855,2009,02/04/2016 06:33:39 AM,41.812500741,-87.723762444,"(41.812500741, -87.723762444)"
5410380,HN250336,03/27/2007 12:30:00 PM,017XX E 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,0414,004,8,46,14,1189150,1852941,2007,04/15/2016 08:55:02 AM,41.751525454,-87.582422196,"(41.751525454, -87.582422196)"
7125240,HR534849,09/12/2009 12:00:00 PM,026XX N NEVA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2512,025,36,18,26,1127973,1916770,2009,02/04/2016 06:33:39 AM,41.927929456,-87.805172302,"(41.927929456, -87.805172302)"
7015671,HR420837,07/10/2009 01:04:12 AM,041XX N PULASKI RD,2110,NARCOTICS,POS: HYPODERMIC NEEDLE,STREET,true,false,1723,017,39,16,18,1148988,1927114,2009,02/04/2016 06:33:39 AM,41.955933065,-87.727680586,"(41.955933065, -87.727680586)"
7699966,HS506718,09/09/2010 08:10:00 AM,014XX W BIRCHWOOD AVE,0460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,false,false,2422,024,49,1,08B,1165404,1949925,2010,02/04/2016 06:33:39 AM,42.018192882,-87.666678828,"(42.018192882, -87.666678828)"
5202238,HM792808,12/24/2006 07:15:00 PM,069XX S EUCLID AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0332,003,5,43,08B,1190405,1859442,2006,04/15/2016 08:55:02 AM,41.769334596,-87.57761401,"(41.769334596, -87.57761401)"
3826660,HL198092,02/22/2005 02:40:00 PM,051XX N SHERIDAN RD,0820,THEFT,$500 AND UNDER,STREET,false,false,2024,020,48,3,06,1168702,1934480,2005,04/15/2016 08:55:02 AM,41.975740413,-87.6549931,"(41.975740413, -87.6549931)"
6868991,HR275036,04/18/2009 01:45:00 PM,077XX S INDIANA AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0623,006,6,69,05,1178934,1853742,2009,02/04/2016 06:33:39 AM,41.753962061,-87.619834261,"(41.753962061, -87.619834261)"
6542041,HP609083,10/04/2008 09:00:00 AM,051XX N CHRISTIANA AVE,0610,BURGLARY,FORCIBLE ENTRY,COLLEGE/UNIVERSITY GROUNDS,false,false,1713,017,39,13,05,1153116,1934012,2008,02/04/2016 06:33:39 AM,41.974780556,-87.712321209,"(41.974780556, -87.712321209)"
1354700,G057851,01/28/2001 01:00:00 AM,019XX W LAWRENCE AV,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,2032,020,,,08A,1162291,1931927,2001,08/17/2015 03:03:40 PM,41.968871758,-87.67864041,"(41.968871758, -87.67864041)"
7367853,HS149853,02/03/2010 05:15:00 PM,040XX W POLK ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1132,011,24,26,18,1149485,1896137,2010,02/04/2016 06:33:39 AM,41.870919565,-87.726659003,"(41.870919565, -87.726659003)"
5512457,HN306364,04/26/2007 01:22:00 PM,068XX S MAY ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,true,false,0724,007,17,68,18,1169831,1859426,2007,04/15/2016 08:55:02 AM,41.769762008,-87.653028868,"(41.769762008, -87.653028868)"
7325118,HS129009,01/19/2010 11:30:00 AM,001XX N LAMON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1532,015,28,25,26,1143681,1900836,2010,02/04/2016 06:33:39 AM,41.88392479,-87.747850104,"(41.88392479, -87.747850104)"
10287411,HY475631,10/25/2015 06:30:00 AM,060XX S CALIFORNIA AVE,0334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,SIDEWALK,false,false,0823,008,15,66,03,1158744,1864569,2015,11/01/2015 03:56:35 PM,41.784108602,-87.693528912,"(41.784108602, -87.693528912)"
9135536,HW280431,05/18/2013 05:30:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0111,001,42,32,06,1176352,1900927,2013,02/04/2016 06:33:39 AM,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
1894453,G747224,12/13/2001 07:00:00 PM,053XX S HAMLIN AV,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0822,008,,,05,1151983,1869023,2001,08/17/2015 03:03:40 PM,41.796466427,-87.718200731,"(41.796466427, -87.718200731)"
7917281,HT147737,12/10/2007 12:00:00 PM,128XX S GREEN ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0523,005,34,53,06,,,2007,08/17/2015 03:03:40 PM,,,
6752886,HR170728,02/14/2009 08:19:24 PM,018XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1333,012,27,28,08B,1164176,1901070,2009,02/04/2016 06:33:39 AM,41.884158548,-87.672583642,"(41.884158548, -87.672583642)"
9785426,HX242952,04/30/2014 10:42:00 AM,056XX S ELIZABETH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE,true,false,0713,007,16,67,18,1168951,1867402,2014,02/04/2016 06:33:39 AM,41.791668176,-87.656024275,"(41.791668176, -87.656024275)"
3040316,HJ753928,11/12/2003 01:05:00 AM,027XX N HOYNE AVE,1330,CRIMINAL TRESPASS,TO LAND,CHA APARTMENT,true,false,1913,019,1,7,26,1162349,1918088,2003,04/15/2016 08:55:02 AM,41.930895594,-87.678815744,"(41.930895594, -87.678815744)"
